Season,Half,Conference,Division,Team_ID,Team_Name,Playoffs,GP,W,L,OL,T,PTS,PTS_Pct,GF,GA,SRS,SOS,RPt_Pct,ROW,RW,RgRec,RgPt_Pct
1918,First,NA,NA,MTL,Montreal Canadiens,FALSE,14,10,4,NA,0,20,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,First,NA,NA,TRA,Toronto Arenas,FALSE,14,8,6,NA,0,16,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,First,NA,NA,OTS,Ottawa Senators,FALSE,14,5,9,NA,0,10,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,First,NA,NA,MTW,Montreal Wanderers,FALSE,6,1,5,NA,0,2,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,Second,NA,NA,TRA,Toronto Arenas,FALSE,8,5,3,NA,0,10,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,Second,NA,NA,OTS,Ottawa Senators,FALSE,8,4,4,NA,0,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,Second,NA,NA,MTL,Montreal Canadiens,FALSE,8,3,5,NA,0,6,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,First,NA,NA,MTL,Montreal Canadiens,FALSE,10,7,3,NA,0,14,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,First,NA,NA,OTS,Ottawa Senators,FALSE,10,5,5,NA,0,10,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,First,NA,NA,TRA,Toronto Arenas,FALSE,10,3,7,NA,0,6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,Second,NA,NA,OTS,Ottawa Senators,FALSE,8,7,1,NA,0,14,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,Second,NA,NA,MTL,Montreal Canadiens,FALSE,8,3,5,NA,0,6,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,Second,NA,NA,TRA,Toronto Arenas,FALSE,8,2,6,NA,0,4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,First,NA,NA,OTS,Ottawa Senators,FALSE,12,9,3,NA,0,18,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,First,NA,NA,MTL,Montreal Canadiens,FALSE,12,8,4,NA,0,16,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,First,NA,NA,TRS,Toronto St. Patricks,FALSE,12,5,7,NA,0,10,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,First,NA,NA,QBC,Quebec Athletic Club/Bulldogs,FALSE,12,2,10,NA,0,4,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,Second,NA,NA,OTS,Ottawa Senators,FALSE,12,10,2,NA,0,20,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,Second,NA,NA,TRS,Toronto St. Patricks,FALSE,12,7,5,NA,0,14,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,Second,NA,NA,MTL,Montreal Canadiens,FALSE,12,5,7,NA,0,10,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,Second,NA,NA,QBC,Quebec Athletic Club/Bulldogs,FALSE,12,2,10,NA,0,4,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,First,NA,NA,OTS,Ottawa Senators,FALSE,10,8,2,NA,0,16,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,First,NA,NA,TRS,Toronto St. Patricks,FALSE,10,5,5,NA,0,10,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,First,NA,NA,MTL,Montreal Canadiens,FALSE,10,4,6,NA,0,8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,First,NA,NA,HAM,Hamilton Tigers,FALSE,10,3,7,NA,0,6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
